,index,Interaction,Type,Importance
0,63,Pirates X Swords,contcont,0.022086858661351273
1,33,Emperors X Lotuses,contcont,0.01920551992898812
2,57,Lotuses X Pirates,contcont,0.01613039466426655
3,49,Hooligans X Swords,contcont,0.015983857330060323
4,40,Guards X Lotuses,contcont,0.014825646745675368
5,25,Dragons X Lotuses,contcont,0.01337149102189448
6,1,Angels X Dragons,contcont,0.012981402838301468
7,6,Angels X Lotuses,contcont,0.012647845491573205
8,13,Battalions X Guards,contcont,0.011648080008448861
9,15,Battalions X Knights,contcont,0.0115968104619273
10,2,Angels X Emperors,contcont,0.010953948448541828
11,46,Hooligans X Lotuses,contcont,0.010079508307194115
12,19,Battalions X Swords,contcont,0.009083076413589108
13,17,Battalions X Minotaurs,contcont,0.00885599462707731
14,51,Knights X Lotuses,contcont,0.00827544681515513
15,8,Angels X Pirates,contcont,0.008274771577920647
16,4,Angels X Hooligans,contcont,0.007862767143341304
17,48,Hooligans X Pirates,contcont,0.00764990194653512
18,65,Swords X Vigilantes,contcont,0.007470211177579329
19,58,Lotuses X Swords,contcont,0.0072213965022596615
20,36,Emperors X Swords,contcont,0.007160329339049742
21,9,Angels X Swords,contcont,0.006984946344093958
22,61,Minotaurs X Swords,contcont,0.006922200613753647
23,11,Battalions X Dragons,contcont,0.006488933429553314
24,20,Battalions X Vigilantes,contcont,0.0059395960068582615
25,56,Lotuses X Minotaurs,contcont,0.005866336343157951
26,21,Dragons X Emperors,contcont,0.005707249906056405
27,0,Angels X Battalions,contcont,0.005084028681007512
28,60,Minotaurs X Pirates,contcont,0.00470862847687291
29,54,Knights X Swords,contcont,0.004624455552740569
30,42,Guards X Pirates,contcont,0.004482329452380387
31,14,Battalions X Hooligans,contcont,0.004378062158869351
32,22,Dragons X Guards,contcont,0.003661756235390554
33,7,Angels X Minotaurs,contcont,0.0036517837259619507
34,30,Emperors X Guards,contcont,0.0035784313802733115
35,18,Battalions X Pirates,contcont,0.0034828233435783575
36,24,Dragons X Knights,contcont,0.0032849677246300445
37,12,Battalions X Emperors,contcont,0.0031607490717402223
38,26,Dragons X Minotaurs,contcont,0.0031410873992479254
39,3,Angels X Guards,contcont,0.0031166139949404025
40,32,Emperors X Knights,contcont,0.0029863253609406677
41,45,Hooligans X Knights,contcont,0.0028734383798493164
42,41,Guards X Minotaurs,contcont,0.002716542065863934
43,23,Dragons X Hooligans,contcont,0.002650144046458846
44,53,Knights X Pirates,contcont,0.0024175868754187225
45,52,Knights X Minotaurs,contcont,0.00231231175816113
46,39,Guards X Knights,contcont,0.002277484766961392
47,16,Battalions X Lotuses,contcont,0.0022071709495669364
48,47,Hooligans X Minotaurs,contcont,0.002030784831328258
49,31,Emperors X Hooligans,contcont,0.0019294770371575923
50,50,Hooligans X Vigilantes,contcont,0.0019293534595333616
51,37,Emperors X Vigilantes,contcont,0.0019196874661304047
52,29,Dragons X Vigilantes,contcont,0.001919686247130797
53,10,Angels X Vigilantes,contcont,0.0018812202145191495
54,43,Guards X Swords,contcont,0.0018344394888901877
55,59,Lotuses X Vigilantes,contcont,0.0016519933043579178
56,35,Emperors X Pirates,contcont,0.0016175796940061746
57,38,Guards X Hooligans,contcont,0.0014090163831034209
58,44,Guards X Vigilantes,contcont,0.0014003465115592884
59,64,Pirates X Vigilantes,contcont,0.0013406800156392739
60,34,Emperors X Minotaurs,contcont,0.001305058448949265
61,5,Angels X Knights,contcont,0.0012482970828346523
62,28,Dragons X Swords,contcont,0.001244348128991168
63,27,Dragons X Pirates,contcont,0.0012272301579654495
64,55,Knights X Vigilantes,contcont,0.0005633758251436171
65,62,Minotaurs X Vigilantes,contcont,0.00036903379406009063
